Name,measure,value
Dwyane Wade ,G,0.6179300005705706
LeBron James ,G,0.7693834320829653
Kobe Bryant ,G,0.8451101478391627
Dirk Nowitzki ,G,0.7693834320829653
Danny Granger ,G,-0.2907905885037983
Kevin Durant ,G,0.23929642178958352
Kevin Martin ,G,-1.5024180406029568
Al Jefferson ,G,-1.5781447563591542
Chris Paul ,G,0.5422032848143732
Carmelo Anthony ,G,-0.3665173042599957
Chris Bosh ,G,0.46647656905817575
Brandon Roy ,G,0.5422032848143732
Antawn Jamison ,G,0.7693834320829653
Tony Parker ,G,0.08784299027718873
Amare Stoudemire ,G,-1.3509646090905618
Joe Johnson ,G,0.6179300005705706
Devin Harris ,G,-0.13933715699140348
Michael Redd ,G,-2.86549892421451
David West ,G,0.3907498533019783
Zachary Randolph ,G,-1.5781447563591542
Caron Butler ,G,-0.2907905885037983
Vince Carter ,G,0.693656716326768
Stephen Jackson ,G,-0.8966043145533775
Ben Gordon ,G,0.8451101478391627
Dwight Howard ,G,0.6179300005705706
Paul Pierce ,G,0.7693834320829653
Al Harrington ,G,0.16356970603338614
Jamal Crawford ,G,-0.44224402001619306
Yao Ming ,G,0.46647656905817575
Richard Jefferson ,G,0.8451101478391627
Jason Terry ,G,0.23929642178958352
Deron Williams ,G,-0.2150638727476009
Tim Duncan ,G,0.31502313754578093
Monta Ellis ,G,-3.471312650264089
Rudy Gay ,G,0.6179300005705706
Pau Gasol ,G,0.7693834320829653
Andre Iguodala ,G,0.8451101478391627
Corey Maggette ,G,-1.5024180406029568
O.J. Mayo ,G,0.8451101478391627
John Salmons ,G,0.6179300005705706
Richard Hamilton ,G,-0.2907905885037983
Ray Allen ,G,0.6179300005705706
LaMarcus Aldridge ,G,0.7693834320829653
Josh Howard ,G,-1.4266913248467592
Maurice Williams ,G,0.7693834320829653
Shaquille O'neal ,G,0.31502313754578093
Rashard Lewis ,G,0.6179300005705706
Chauncey Billups ,G,0.6179300005705706
Allen Iverson ,G,-1.0480577460657723
Nate Robinson ,G,0.23929642178958352
Dwyane Wade ,MIN,1.001970240753371
LeBron James ,MIN,0.6119299221210036
Kobe Bryant ,MIN,-0.038137275599609735
Dirk Nowitzki ,MIN,0.6119299221210036
Danny Granger ,MIN,-0.038137275599609735
Kevin Durant ,MIN,1.1753214934788674
Kevin Martin ,MIN,0.8286189880278748
Al Jefferson ,MIN,0.13521397712588654
Chris Paul ,MIN,0.9586324275719962
Carmelo Anthony ,MIN,-0.7748800996829728
Chris Bosh ,MIN,0.7852811748465
Brandon Roy ,MIN,0.3952408562141325
Antawn Jamison ,MIN,0.8286189880278748
Tony Parker ,MIN,-0.9482313524084691
Amare Stoudemire ,MIN,0.22188960348863315
Joe Johnson ,MIN,1.3920105593857384
Devin Harris ,MIN,-0.08147508878098458
Michael Redd ,MIN,0.04853835076313687
David West ,MIN,1.3053349330229889
Zachary Randolph ,MIN,-0.5148532205947268
Caron Butler ,MIN,1.001970240753371
Vince Carter ,MIN,0.22188960348863315
Stephen Jackson ,MIN,1.478686185748488
Ben Gordon ,MIN,0.13521397712588654
Dwight Howard ,MIN,-0.25482634150648087
Paul Pierce ,MIN,0.48191648257687913
Al Harrington ,MIN,-0.6015288469574765
Jamal Crawford ,MIN,0.7852811748465
Yao Ming ,MIN,-1.16492041831534
Richard Jefferson ,MIN,-0.16815071514373425
Jason Terry ,MIN,-1.16492041831534
Deron Williams ,MIN,0.265227416670008
Tim Duncan ,MIN,-1.1215826051339655
Monta Ellis ,MIN,-0.29816415468785573
Rudy Gay ,MIN,0.4385786693955043
Pau Gasol ,MIN,0.35190304303275766
Andre Iguodala ,MIN,1.5220239989298598
Corey Maggette ,MIN,-2.2483657478496957
O.J. Mayo ,MIN,0.7419433616651251
John Salmons ,MIN,0.525254295758254
Richard Hamilton ,MIN,-0.9915691655898439
Ray Allen ,MIN,0.005200537581762025
LaMarcus Aldridge ,MIN,0.35190304303275766
Josh Howard ,MIN,-1.9016632423987032
Maurice Williams ,MIN,-0.5581910337761017
Shaquille O'neal ,MIN,-2.681743879663438
Rashard Lewis ,MIN,-0.038137275599609735
Chauncey Billups ,MIN,-0.4281775942319802
Allen Iverson ,MIN,0.1785517903072614
Nate Robinson ,MIN,-2.768419506026188
Dwyane Wade ,PTS,3.1799414684618577
LeBron James ,PTS,2.566973526372401
Kobe Bryant ,PTS,2.022113133403996
Dirk Nowitzki ,PTS,1.7156291623592668
Danny Granger ,PTS,1.6815753877987423
Kevin Durant ,PTS,1.5113065149961153
Kevin Martin ,PTS,1.272930093072438
Al Jefferson ,PTS,0.7621234746645575
Chris Paul ,PTS,0.6599621509829812
Carmelo Anthony ,PTS,0.6599621509829812
Chris Bosh ,PTS,0.6259083764224553
Brandon Roy ,PTS,0.5918546018619307
Antawn Jamison ,PTS,0.4556395036198285
Tony Parker ,PTS,0.38753195449877803
Amare Stoudemire ,PTS,0.18320930713562536
Joe Johnson ,PTS,0.18320930713562536
Devin Harris ,PTS,0.1491555325751007
Michael Redd ,PTS,0.11510175801457485
David West ,PTS,0.04699420889352437
Zachary Randolph ,PTS,-0.021113340227526124
Caron Butler ,PTS,-0.021113340227526124
Vince Carter ,PTS,-0.021113340227526124
Stephen Jackson ,PTS,-0.055167114788051974
Ben Gordon ,PTS,-0.055167114788051974
Dwight Howard ,PTS,-0.08922088934857661
Paul Pierce ,PTS,-0.12327466390910247
Al Harrington ,PTS,-0.25948976215120345
Jamal Crawford ,PTS,-0.39570486039330566
Yao Ming ,PTS,-0.39570486039330566
Richard Jefferson ,PTS,-0.42975863495383027
Jason Terry ,PTS,-0.42975863495383027
Deron Williams ,PTS,-0.497866184074882
Tim Duncan ,PTS,-0.5319199586354066
Monta Ellis ,PTS,-0.6340812823169829
Rudy Gay ,PTS,-0.6681350568775088
Pau Gasol ,PTS,-0.6681350568775088
Andre Iguodala ,PTS,-0.7021888314380335
Corey Maggette ,PTS,-0.7702963805590839
O.J. Mayo ,PTS,-0.8043501551196098
John Salmons ,PTS,-0.8724577042406603
Richard Hamilton ,PTS,-0.8724577042406603
Ray Allen ,PTS,-0.9065114788011861
LaMarcus Aldridge ,PTS,-0.9405652533617108
Josh Howard ,PTS,-0.9746190279222366
Maurice Williams ,PTS,-1.0427265770432872
Shaquille O'neal ,PTS,-1.0427265770432872
Rashard Lewis ,PTS,-1.076780351603813
Chauncey Billups ,PTS,-1.076780351603813
Allen Iverson ,PTS,-1.1448879007248633
Nate Robinson ,PTS,-1.2470492244064397
Dwyane Wade ,FGM,2.920022186679322
LeBron James ,FGM,1.9571851347167148
Kobe Bryant ,FGM,2.044715775804226
Dirk Nowitzki ,FGM,1.8696544936292054
Danny Granger ,FGM,0.9068174416665996
Kevin Durant ,FGM,1.2569400060166385
Kevin Martin ,FGM,-0.668734097908574
Al Jefferson ,FGM,1.9571851347167148
Chris Paul ,FGM,0.5566948773165606
Carmelo Anthony ,FGM,0.5566948773165606
Chris Bosh ,FGM,0.46916423622905135
Brandon Roy ,FGM,0.5566948773165606
Antawn Jamison ,FGM,0.7317561594915809
Tony Parker ,FGM,1.2569400060166385
Amare Stoudemire ,FGM,0.11904167187901245
Joe Johnson ,FGM,0.2941029540540319
Devin Harris ,FGM,-0.756264738996084
Michael Redd ,FGM,0.031511030791503115
David West ,FGM,0.46916423622905135
Zachary Randolph ,FGM,0.7317561594915809
Caron Butler ,FGM,-0.14355025138351635
Vince Carter ,FGM,-0.056019610296006224
Stephen Jackson ,FGM,-0.40614217464604513
Ben Gordon ,FGM,-0.14355025138351635
Dwight Howard ,FGM,-0.3186115335585358
Paul Pierce ,FGM,-0.668734097908574
Al Harrington ,FGM,-0.14355025138351635
